Groupe 12967 red
Point 1.96553 1.68948 red
Point 1.99107 1.7277 red
Point 1.98801 1.75006 red
Point 1.95599 1.77415 red
Point 1.9632 1.83086 red
Point 1.97091 1.81027 red
Point 1.9257 1.88374 red
Point 1.90677 1.93956 red
Point 1.86241 1.94415 red
Point 1.83116 1.9943 red
Point 1.83328 1.99331 red
Point 1.78887 1.98671 red
Point 1.72185 2.00484 red
Point 1.6835 2.02939 red
Point 1.65612 1.99826 red
Point 1.598 2.00688 red
Point 1.61175 2.01221 red
Point 1.57629 1.96256 red
Point 1.53734 1.97662 red
Point 1.50803 1.95351 red
Point 1.45529 1.89912 red
Point 1.40414 1.82067 red
Point 1.36307 1.77927 red
Point 1.36157 1.77097 red
Point 1.37806 1.72404 red
Point 1.34342 1.67163 red
Point 1.34469 1.64409 red
Point 1.33789 1.62587 red
Point 1.3757 1.58668 red
Point 1.34432 1.51975 red
Point 1.35115 1.48012 red
Point 1.33977 1.44781 red
Point 1.37829 1.28874 red
Point 1.41112 1.11224 red
Point 1.39463 1.02245 red
Point 1.41135 0.925588 red
Point 1.45667 0.891116 red
Point 1.4344 0.797376 red
Point 1.44618 0.69102 red
Point 1.49611 0.65874 red
Point 1.46243 0.563379 red
Point 1.46059 0.449084 red
Point 1.47744 0.490082 red
Point 1.5152 0.410717 red
Point 1.4632 0.32174 red
Point 1.47467 0.241751 red
Point 1.41654 0.074836 red
Point 1.40426 -0.01523 red
Point 1.26914 -0.23488 red
Point 1.08457 -0.41247 red
Point 1.02046 -0.41062 red
Point 0.929398 -0.4671 red
Point 0.863456 -0.53762 red
Point 0.803907 -0.52025 red
Point 0.696111 -0.55087 red
Point 0.659243 -0.59623 red
Point 0.607792 -0.60159 red
Point 0.563535 -0.568 red
Point 0.445416 -0.56344 red
Point 0.404385 -0.60407 red
Point 0.317515 -0.54327 red
Point 0.20719 -0.502 red
Point 0.243528 -0.53517 red
Point 0.156056 -0.53631 red
Point 0.093612 -0.45175 red
Point 0.020649 -0.43272 red
Point -0.00147 -0.37935 red
Point -0.06578 -0.40547 red
Point -0.09816 -0.30761 red
Point -0.16752 -0.26626 red
Point -0.24906 -0.11972 red
Point -0.30511 -0.0595 red
Point -0.38217 0.179448 red
Point -0.35025 0.234641 red
Point -0.36148 0.332894 red
Point -0.39836 0.417772 red
Point -0.35791 0.464401 red
Point -0.35133 0.565113 red
Point -0.37648 0.650559 red
Point -0.332 0.690857 red
Point -0.31386 0.793568 red
Point -0.34153 0.840985 red
Point -0.33197 0.883077 red
Point -0.28831 0.913881 red
Point -0.29745 0.9725 red
Point -0.26397 1.0172 red
Point -0.29692 1.06074 red
Point -0.23965 1.13205 red
Point -0.24723 1.19364 red
Point -0.21444 1.23358 red
Point -0.25404 1.2724 red
Point -0.19726 1.34187 red
Point -0.20495 1.40283 red
Point -0.22161 1.47329 red
Point -0.17113 1.53764 red
Point -0.18106 1.59398 red
Point -0.20929 1.65328 red
Point -0.16938 1.71234 red
Point -0.18368 1.76004 red
Point -0.19693 1.8601 red
Point -0.21762 1.89778 red
Point -0.28474 2.01515 red
Point -0.32217 2.10257 red
Point -0.38578 2.12388 red
Point -0.39812 2.17047 red
Point -0.42083 2.17847 red
Point -0.43978 2.19989 red
Point -0.52265 2.24655 red
Point -0.54661 2.2504 red
Point -0.5636 2.26319 red
Point -0.64696 2.28685 red
Point -0.66503 2.28611 red
Point -0.67564 2.29015 red
Point -0.70763 2.26732 red
Point -0.75499 2.29091 red
Point -0.76936 2.28642 red
Point -0.77871 2.28712 red
Point -0.79977 2.25569 red
Point -0.85022 2.2674 red
Point -0.8671 2.25661 red
Point -0.8803 2.2547 red
Point -0.88755 2.2166 red
Point -0.94094 2.2189 red
Point -0.96091 2.19859 red
Point -0.97989 2.19304 red
Point -1.02825 2.1451 red
Point -1.04864 2.11571 red
Point -1.12404 2.0179 red
Point -1.19109 1.96265 red
Point -1.19727 1.89737 red
Point -1.24116 1.87662 red
Point -1.24545 1.85341 red
Point -1.26799 1.82886 red
Point -1.27237 1.76112 red
Point -1.31459 1.74682 red
Point -1.32073 1.71248 red
Point -1.34988 1.68669 red
Point -1.33345 1.64862 red
Point -1.39719 1.61137 red
Point -1.40783 1.56619 red
Point -1.51611 1.42108 red
Point -1.62 1.36151 red
Point -1.65331 1.2854 red
Point -1.71521 1.29224 red
Point -1.72604 1.26677 red
Point -1.7867 1.23847 red
Point -1.9122 1.15495 red
Point -2.09628 1.1244 red
Point -2.14518 1.06175 red
Point -2.23288 1.08273 red
Point -2.31591 1.06254 red
Point -2.39412 1.04718 red
Point -2.49983 1.03091 red
Point -2.53323 1.02626 red
Point -2.64453 1.01443 red
Point -2.74234 1.00834 red
Point -2.85223 1.00233 red
Point -2.90182 1.00079 red
Point -2.17077 1.14489 red
Point -1.95182 1.23196 red
Point -1.90526 1.29328 red
Point -1.82507 1.2983 red
Point -1.78294 1.34213 red
Point -1.76186 1.34614 red
Point -1.75162 1.40649 red
Point -1.64294 1.52614 red
Point -1.60381 1.6258 red
Point -1.55468 1.65853 red
Point -1.52517 1.6851 red
Point -1.5262 1.7534 red
Point -1.48654 1.76231 red
Point -1.4815 1.79711 red
Point -1.45907 1.82032 red
Point -1.47187 1.86254 red
Point -1.42027 1.90578 red
Point -1.41395 1.93893 red
Point -1.39583 1.95774 red
Point -1.40459 2.00652 red
Point -1.35181 2.04804 red
Point -1.32672 2.09455 red
Point -1.32938 2.1472 red
